strain	previous_names	isotype
AF16	AF16 CGC, G16	AF16
BRC20069	NA	BRC20069
BRC20073	NA	BRC20073
BRC20075	NA	BRC20075
BRC20076	NA	BRC20390
BRC20077	NA	BRC20077
BRC20081	NA	BRC20081
BRC20085	NA	BRC20085
BRC20086	NA	BRC20390
BRC20088	NA	BRC20088
BRC20089	NA	BRC20089
BRC20090	NA	BRC20090
BRC20092	NA	BRC20092
BRC20093	NA	BRC20093
BRC20094	NA	BRC20094
BRC20095	NA	BRC20095
BRC20096	NA	BRC20096
BRC20098	NA	BRC20098
BRC20099	NA	BRC20099
BRC20100	NA	BRC20100
BRC20102	NA	BRC20102
BRC20103	NA	BRC20103
BRC20105	NA	BRC20105
BRC20107	NA	BRC20107
BRC20115	134	BRC20115
BRC20119	159F-7	BRC20119
BRC20120	170F-18	NIC815
BRC20121	182F-30	NIC802
BRC20122	181F-29	BRC20238
BRC20123	171F-19	NIC805
BRC20224	201F-49	BRC20543
BRC20228	343F-191	BRC20228
BRC20229	335F-183	BRC20229
BRC20230	370F-218	BRC20230
BRC20232	189F-37	BRC20232
BRC20234	154F-2	BRC20241
BRC20236	172F-20	BRC20238
BRC20237	173F-21	BRC20238
BRC20238	178F-26	BRC20238
BRC20239	210F-58	BRC20239
BRC20241	156F-4	BRC20241
BRC20242	162F-10	BRC20242
BRC20244	426F-274	BRC20244
BRC20246	204F-52	BRC20246
BRC20247	212F-60	BRC20390
BRC20254	194F-42	BRC20232
BRC20255	369F-217	NIC802
BRC20256	375F-223	BRC20246
BRC20257	443F|DAISI_06	BRC20257
BRC20260	206F-54	BRC20260
BRC20269	487FA, fulong beachA	BRC20331
BRC20270	471F	BRC20270
BRC20272	471F L	BRC20272
BRC20289	482FA	BRC20289
BRC20290	482FB	BRC20290
BRC20294	495FB, Chong-Ho (golf-2)	BRC20294
BRC20295	495FA, Chong-Ho (golf-1)	BRC20294
BRC20299	486FA, turtle islandA	BRC20320
BRC20308	500FA, Yilan-alpha1	BRC20308
BRC20309	500FB, Yilan-alpha2	BRC20309
BRC20310	502FA, Yilan-gamma1	BRC20311
BRC20311	502FB, Yilan-gamma2	BRC20311
BRC20312	504FA, Yilan-epsilon1	BRC20312
BRC20315	504FB, Yilan-epsilon2	BRC20315
BRC20320	486FC, turtle islandC	BRC20320
BRC20324	148, BRC10104	BRC20324
BRC20331	487FB, fulong beachB	BRC20331
BRC20333	81	BRC20333
BRC20334	NA	BRC20334
BRC20339	488F, 石碇1A	BRC20339
BRC20341	520F	BRC20341
BRC20342	523FA	BRC20343
BRC20343	523FB	BRC20343
BRC20345	540FC	NIC802
BRC20346	486FB, turtle islandB	BRC20346
BRC20347	550FA	BRC20347
BRC20348	553FB	BRC20348
BRC20353	578FA	BRC20353
BRC20354	582FB	BRC20361
BRC20355	584FA	BRC20361
BRC20356	584FB	BRC20361
BRC20360	579FA	BRC20360
BRC20361	582FA	BRC20361
BRC20362	582FC	BRC20362
BRC20366	593F	BRC20366
BRC20367	625F	BRC20367
BRC20369	635F	BRC20369
BRC20370	609F	BRC20370
BRC20388	671F	BRC20388
BRC20390	664FD	BRC20390
BRC20401	695FB	BRC20401
BRC20408	664FC	BRC20390
BRC20462	699F	BRC20390
BRC20463	700F	BRC20463
BRC20492	751F	BRC20492
BRC20498	761F	BRC20498
BRC20499	769FA	BRC20499
BRC20500	769FB	BRC20499
BRC20501	770F	BRC20501
BRC20502	839F-2	BRC20502
BRC20503	20210803	BRC20503
BRC20519	20210803	BRC20519
BRC20520	20210803	BRC20520
BRC20522	20210803	BRC20522
BRC20523	20210803	BRC20522
BRC20524	20210803	BRC20524
BRC20525	20210803	BRC20522
BRC20526	20210803	TWN1899
BRC20528	20210803	NIC779
BRC20529	20210803	BRC20529
BRC20530	20210803	BRC20530
BRC20531	20210803	BRC20531
BRC20532	20210803	BRC20532
BRC20533	20210803	BRC20533
BRC20534	20210803	BRC20534
BRC20535	20210803	BRC20535
BRC20536	20210803	BRC20536
BRC20537	20210803	BRC20537
BRC20540	20210803	BRC20115
BRC20541	20210803	BRC20541
BRC20542	20210803	BRC20541
BRC20543	20210803	BRC20543
BRC20544	20210803	BRC20544
BRC20545	20210803	BRC20545
BRC20556	20210803	BRC20556
BRC20557	20210803	BRC20557
BRC20565	NA	BRC20565
BRC20571	NA	BRC20571
BRC20574	NA	BRC20574
BW287	NA	BW287
DF5100	NA	DF5100
ECA1127	C1587-2	ECA1174
ECA1128	C1587-4	ECA1174
ECA1129	C1584-1	ECA1129
ECA1130	C1584-2	ECA1129
ECA1143	NA	ECA1143
ECA1144	NA	ECA1143
ECA1145	NA	ECA1143
ECA1146	NA	ECA1146
ECA1147	NA	ECA1164
ECA1148	NA	ECA1149
ECA1149	NA	ECA1149
ECA1150	NA	ECA1149
ECA1151	NA	ECA1160
ECA1152	NA	ECA1160
ECA1153	NA	ECA1160
ECA1154	NA	ECA1160
ECA1155	NA	ECA1160
ECA1156	NA	ECA1160
ECA1157	NA	EG6268
ECA1158	NA	EG6268
ECA1159	NA	EG6268
ECA1160	NA	ECA1160
ECA1161	NA	ECA1160
ECA1162	NA	ECA1160
ECA1163	NA	ECA1160
ECA1164	NA	ECA1164
ECA1165	NA	ECA1160
ECA1166	NA	ECA1559
ECA1167	NA	ECA1559
ECA1168	NA	ECA1559
ECA1169	NA	ECA1559
ECA1170	NA	ECA1170
ECA1171	NA	ECA1174
ECA1172	NA	ECA1383
ECA1173	NA	ECA1383
ECA1174	NA	ECA1174
ECA1175	NA	ECA1174
ECA1176	NA	ECA1174
ECA1177	NA	ECA1383
ECA1178	NA	ECA1383
ECA1179	NA	ECA1383
ECA1180	NA	ECA1383
ECA1181	NA	ECA1383
ECA1182	NA	ECA1559
ECA1183	NA	ECA2385
ECA1381	S-10044	ECA1383
ECA1382	S-10046	ECA1174
ECA1383	S-10048	ECA1383
ECA1384	S-10088	ECA1174
ECA1387	S-0448	ECA1437
ECA1399	S-0182	ECA1383
ECA1406	S-0186	NA
ECA1407	S-0186	ECA1383
ECA1411	S-0109	ECA1411
ECA1421	S-0252	NA
ECA1423	S-0255	ECA1423
ECA1425	S-0256	ECA1423
ECA1427	S-0344	ECA1429
ECA1429	S-0346	ECA1429
ECA1431	S-0442	ECA1431
ECA1434	S-0453	ECA1437
ECA1435	S-0453	ECA1437
ECA1437	S-0454	ECA1437
ECA1439	S-0469	ECA1439
ECA1443	S-0468	ECA1443
ECA1455	S-10285	ECA1559
ECA1457	S-10290	ECA1559
ECA1459	S-10291	ECA1489
ECA1461	S-10667	ECA1559
ECA1469	S-10319	ECA1489
ECA1471	S-10326	ECA1471
ECA1473	S-10330	ECA1563
ECA1475	S-10337	ECA1563
ECA1477	S-10668	ECA1559
ECA1479	S-10385	ECA1559
ECA1483	S-10684	ECA1509
ECA1485	S-10685	ECA1509
ECA1487	S-10206	ECA1489
ECA1489	S-10209	ECA1489
ECA1491	S-10211	ECA1489
ECA1495	S-10261	ECA1507
ECA1497	S-10270	ECA1559
ECA1499	S-10278	ECA1489
ECA1501	S-10279	ECA1559
ECA1503	S-10280	ECA1503
ECA1505	S-10283	ECA1489
ECA1507	S-10284	ECA1507
ECA1509	S-10686	ECA1509
ECA1511	S-10687	ECA1509
ECA1513	S-10408	ECA2083
ECA1517	S-10417	ECA1517
ECA1521	S-10699	ECA1521
ECA1523	S-10432	ECA1559
ECA1525	S-10434	ECA1559
ECA1527	S-10474	ECA1563
ECA1529	S-10485	ECA2083
ECA1531	S-10490	ECA2083
ECA1533	S-10492	ECA2083
ECA1535	S-10493	ECA1563
ECA1537	S-10494	ECA1563
ECA1539	S-10495	ECA1563
ECA1541	S-10500	ECA1563
ECA1543	S-10503	ECA2083
ECA1545	S-10505	ECA1609
ECA1547	S-10707	ECA1555
ECA1549	S-10708	ECA1555
ECA1551	S-10709	ECA1555
ECA1553	S-10517	ECA1559
ECA1555	S-10710	ECA1555
ECA1557	S-10521	ECA1559
ECA1559	S-10522	ECA1559
ECA1561	S-10711	ECA1521
ECA1563	S-10581	ECA1563
ECA1565	S-10583	ECA1609
ECA1567	S-10718	ECA1609
ECA1569	S-10719	ECA1559
ECA1571	S-10602	ECA1571
ECA1573	S-10722	ECA1489
ECA1575	S-10610	ECA1609
ECA1577	S-10620	ECA1559
ECA1587	S-10633	ECA1587
ECA1589	S-10635	ECA1489
ECA1591	S-10636	ECA1489
ECA1593	S-10639	ECA1489
ECA1595	S-10640	ECA1489
ECA1597	S-10641	ECA1489
ECA1601	S-10648	ECA1489
ECA1605	S-10664	ECA1605
ECA1607	S-10725	ECA1160
ECA1609	S-10726	ECA1609
ECA161	NA	ECA161
ECA1611	S-10754	ECA1611
ECA1613	S-10755	ECA1611
ECA1615	S-10757	ECA1615
ECA1617	S-10758	ECA1611
ECA1619	S-10759	ECA1611
ECA162	NA	ECA162
ECA1621	S-10778	ECA1621
ECA1623	S-10812	NA
ECA1625	S-10813	ECA1621
ECA1627	S-10818	ECA1609
ECA1629	S-10819	ECA1609
ECA163	NA	ECA163
ECA1631	S-10843	ECA1609
ECA1635	S-10920	NA
ECA1637	S-11145	ECA1637
ECA1639	S-11147	ECA1637
ECA1641	S-11148	ECA1637
ECA1643	S-11727	ECA2373
ECA1645	S-11728	ECA2373
ECA1651	S-11732	ECA2373
ECA1653	S-11279	ECA2373
ECA1655	S-11280	ECA2373
ECA1657	S-11794	ECA1657
ECA1659	S-11796	ECA2299
ECA1661	S-11797	ECA1657
ECA1663	S-11990	ECA1701
ECA1667	S-11903	ECA2373
ECA1669	S-11988	ECA1701
ECA1701	S-11989	ECA1701
ECA1706	S-11993	ECA1701
ECA175	NA	ECA175
ECA176	NA	ECA176
ECA177	NA	ECA177
ECA1773	S-10720	ECA1609
ECA178	NA	ECA183
ECA179	NA	ECA176
ECA180	NA	ECA180
ECA181	NA	ECA176
ECA182	NA	ECA182
ECA183	NA	ECA183
ECA185	NA	ECA185
ECA186	NA	ECA186
ECA188	NA	ECA1174
ECA2083	S-10496	ECA2083
ECA2089	S-10673	ECA1559
ECA2093	S-11245	ECA2093
ECA2115	S-11342	ECA2115
ECA2239	S-12653	ECA2385
ECA2241	S-12674	ECA1559
ECA2275	S-11386	ECA2373
ECA2277	S-11387	ECA2373
ECA2279	S-11391	ECA2373
ECA2297	S-11484	ECA2299
ECA2299	S-11485	ECA2299
ECA2301	S-11486	ECA2299
ECA2303	S-11487	ECA2299
ECA2305	S-11488	ECA2299
ECA2368	S-11633	ECA2373
ECA2371	S-11635	ECA2373
ECA2373	S-11637	ECA2373
ECA2379	S-12215	ECA2385
ECA2381	S-12216	ECA2385
ECA2383	S-12217	ECA2385
ECA2385	S-12218	ECA2385
ECA2387	S-12220	ECA2385
ECA2425	S-12280	ECA2425
ECA2455	S-12327	ECA2385
ECA2457	S-12328	ECA2385
ECA2462	S-12438	ECA1701
ECA2464	S-12440	ECA1701
ECA2470	S-12464	ECA1701
ECA2491	S-12646	ECA2385
ECA2493	S-12648	ECA2385
ECA2499	S-12607	EG6268
ECA2501	S-12608	EG6268
ECA2503	S-12664	EG6268
ECA2505	S-12666	EG6268
ECA2507	S-12705	EG6268
ECA2511	S-12756	EG6268
ECA2513	S-12766	EG6268
ECA2515	S-12775	EG6268
ECA2613	S-13407	ECA2663
ECA2614	S-13412	ECA2663
ECA2616	S-13491	ECA2623
ECA2617	S-13500	ECA2617
ECA2618	S-13508	ECA2618
ECA2619	S-13510	ECA2621
ECA2620	S-13511	ECA2621
ECA2621	S-13512	ECA2621
ECA2622	S-13529	ECA2621
ECA2623	S-13540	ECA2623
ECA2624	S-13555	ECA2617
