strain	previous_names	isotype
ECA2625	S-13558	ECA2625
ECA2626	S-13578	ECA2626
ECA2627	S-13579	ECA2626
ECA2628	S-13590	ECA2621
ECA2629	S-13598	ECA2621
ECA263	HK104 Baird	NA
ECA2630	S-13599	ECA2621
ECA2631	S-13605	ECA2621
ECA2632	S-13614	ECA2625
ECA2633	S-13640	ECA2647
ECA2634	S-13682	ECA2636
ECA2635	S-13683	ECA2636
ECA2636	S-13684	ECA2636
ECA2637	S-13706	ECA2637
ECA2638	S-13721	ECA2647
ECA2639	S-13746	ECA2639
ECA264	AF16 Baird	NA
ECA2645	S-13870	NA
ECA2646	20210803	ECA2647
ECA2647	20210803	ECA2647
ECA2661	20210803	ECA2663
ECA2662	20210803	ECA2663
ECA2663	20210803	ECA2663
ECA2664	20210803	ECA2664
ECA2666	20210803	ECA2666
ECA2667	20210803	ECA2667
ECA2668	20210803	ECA2636
ECA2669	20210803	ECA2670
ECA2670	20210803	ECA2670
ECA2671	20210803	ECA2621
ECA276	20210803	ECA276
ECA277	20210803	ECA278
ECA278	20210803	ECA278
ECA280	20210803	ECA276
ECA2807	20210803	ECA2808
ECA2808	20210803	ECA2808
ECA2867	S-14243	ECA2385
ECA2869	S-14246	ECA2385
ECA287	20210803	ECA287
ECA2875	S-14439	ECA1559
ECA2876	S-14440	ECA1559
ECA2877	S-14486	ECA1559
ECA2878	S-14517	ECA1559
ECA2879	S-14532	ECA1559
ECA288	20210803	ECA288
ECA2883	S-14561	ECA2883
ECA2890	S-14613	ECA2890
ECA2891	S-14617	NA
ECA2892	S-14618	EG6268
ECA2893	S-14620	EG6268
ECA2894	S-14629	ECA2894
ECA2907	S-14747	ECA1701
ECA2909	S-14756	NA
ECA2912	S-14199	ECA2385
ECA2936	S-14054	EG6268
ECA2937	S-14055	EG6268
ECA2975	S-14190	ECA2975
ECA3010	S-14801	NA
ECA3014	S-14815	NA
ECA3015	S-14818	NA
ECA3016	S-14819	NA
ECA3017	S-14820	NA
ECA3018	S-14862	NA
ECA3019	S-14863	NA
ECA3020	S-14868	ECA2385
ECA3022	S-14871	NA
ECA3023	S-14872	NA
ECA3026	S-14885	NA
ECA3028	S-14888	NA
ECA3029	S-14902	ECA1174
ECA3030	S-14903	NA
ECA3031	S-14904	ECA1174
ECA3056	S-14965	NA
ECA3059	S-14970	NA
ECA3061	S-14972	NA
ECA3064	S-14977	NA
ECA3065	S-14978	ECA2385
ECA3066	S-14979	ECA2385
ECA3071	S-14992	NA
ECA3083	S-14778	NA
ECA3084	S-14782	NA
ECA3085	S-14783	ECA1559
ECA3086	S-14784	NA
ECA3090	S-14794	NA
ECA3091	S-14811	ECA3091
ECA3093	S-14825	NA
ECA3109	S-14762	NA
ECA3111	s-14770	ECA1559
ECA343	20210803	ECA343
ECA344	20210803	ECA343
ECA346	20210803	ECA346
ECA3498	S-15237	NA
ECA3499	S-15238	NA
ECA3500	S-15239	NA
ECA3501	S-15241	NA
ECA3502	S-15242	NA
ECA3503	S-15244	NA
ECA3504	S-15245	NA
ECA3505	S-15293	NA
ECA3506	S-15294	NA
ECA3507	S-15295	NA
ECA3508	S-15296	NA
ECA3509	S-15298	NA
ECA3515	S-15037	NA
ECA3520	S-15092	NA
ECA3521	S-15111	NA
ECA3522	S-15115	NA
ECA3539	S-15422	NA
ECA3540	S-15423	NA
ECA3541	S-15424	NA
ECA3544	S-15458	NA
ECA3545	S-15459	NA
ECA3552	S-15509	NA
ECA3553	S-15511	NA
ECA3554	S-15512	NA
ECA3555	S-15513	NA
ECA3557	S-15523	NA
ECA3563	S-15543	NA
ECA3564	S-15544	NA
ECA3565	S-15546	NA
ECA3567	S-15548	NA
ECA3568	S-15557	NA
ECA3569	S-15558	NA
ECA357	20210803	ECA1383
ECA360	20210803	ECA2385
ECA3629	S-15800	NA
ECA3633	S-15818	NA
ECA3636	S-15829	NA
ECA3639	S-15854	NA
ECA3642	S-15871	NA
ECA3648	S-15898	NA
ECA3649	S-15899	NA
ECA3650	S-15900	NA
ECA3651	S-15901	NA
ECA3652	S-15902	NA
ECA3653	S-15903	NA
ECA3655	S-15917	NA
ECA3657	S-15924	NA
ECA3661	S-15950	NA
ECA3662	S-15951	NA
ECA3669	S-15966	NA
ECA3675	S-16074	NA
ECA3679	S-16086	NA
ECA3681	S-16094	NA
ECA3683	S-16106	NA
ECA371	20210803	ECA371
ECA569	20210803	ECA569
ED3032	NA	ED3032
ED3033	NA	ED3037
ED3034	NA	ED3037
ED3036	NA	BRC20228
ED3037	NA	ED3037
ED3078	NA	ED3088
ED3080	NA	ED3088
ED3082	NA	ED3088
ED3083	NA	ED3088
ED3085	NA	ED3088
ED3087	NA	ED3088
ED3088	NA	ED3088
ED3089	NA	ED3088
ED3090	NA	ED3102
ED3091	NA	ED3102
ED3092	NA	ED3102
ED3093	NA	ED3102
ED3095	NA	ED3102
ED3096	NA	ED3102
ED3097	NA	ED3102
ED3098	NA	ED3102
ED3101	NA	ED3102
ED3102	NA	ED3102
EG4181	NA	EG4360
EG4207	NA	EG4360
EG4360	NA	EG4360
EG4365	NA	EG4360
EG5612	NA	EG5612
EG5613	NA	EG5613
EG5614	NA	EG5612
EG5715	NA	EG4360
EG5784	NA	EG4360
EG6179	NA	EG6179
EG6257	NA	EG6261
EG6258	NA	EG6260
EG6259	NA	EG6261
EG6260	NA	EG6260
EG6261	NA	EG6261
EG6262	NA	EG6260
EG6263	NA	EG6261
EG6264	NA	NA
EG6265	NA	EG6265
EG6266	NA	EG6260
EG6267	NA	EG6267
EG6268	NA	EG6268
EG6269	NA	EG6268
EG6270	NA	EG6268
EG6271	NA	EG6271
EG6272	NA	EG6272
EG6273	NA	EG6276
EG6274	NA	EG6274
EG6275	NA	EG6275
EG6276	NA	EG6276
EG6313	NA	EG6276
EG6329	NA	EG6329
GUN124	NA	GUN124
GXW21	NA	GXW22
GXW22	NA	GXW22
GXW23	NA	GXW23
GXW24	NA	GXW22
GXW25	NA	GXW22
GXW26	NA	GXW22
HK104	HK104 CGC	HK104
HK105	NA	HK104
JU1038	PrA1	NIC174
JU1041	PrC2	NIC174
JU1042	PrD2	NIC174
JU1043	PrD3	NIC174
JU1044	PrD4	NIC174
JU1045	PrE1	NIC174
JU1046	PrE2	NIC174
JU1047	PrE3	NIC174
JU1048	PrE4	NIC174
JU1049	PrE5	NIC174
JU1085	J16B2	JU1257
JU1205	L1A3A	NIC174
JU1254	14.3.1	NIC174
JU1257	1.1.12	JU1257
JU1258	1.9.1	NIC174
JU1259	1.17.1	NIC174
JU1260	B1.1	NIC174
JU1261	13.6.1	NIC174
JU1262	13.11.1	NIC174
JU1263	13.15.1	NIC174
JU1264	K2	NIC174
JU1337	1K1	JU1337
JU1338	13A1	JU1338
JU1339	14F1	JU1338
JU1340	17A3	JU1338
JU1341	18B1	JU1341
JU1342	19A2	JU1338
JU1343	21A1	JU1338
JU1344	22A1	JU1344
JU1345	24C1	JU1344
JU1346	35C2	JU1346
JU1347	41J1	JU1347
JU1348	47AI3	JU1348
JU1375	R8N1	JU1375
JU1376	R10P1	NIC174
JU1377	R11D1	JU1377
JU1378	R16F1	JU1378
JU1392	Rio 1	JU1392
JU1399	C4.2.3	JU1399
JU1424	V1.4	JU1424
JU1435	R19.1.1	JU1435
JU1467	9.1.2	NIC174
JU1468	9.1.3	NIC174
JU1469	9.1.4	NIC174
JU1470	9.1.5	NIC174
JU1471	9.1.6	NIC174
JU1472	9.1.7	NIC174
JU1473	9.1.8	NIC174
JU1474	9.3.3	NIC174
JU1496	B15.1	NIC174
JU1497	B16.1	NIC174
JU1498	B17.1	NIC174
JU1499	B18.1	NIC174
JU1500	B19.1	NIC174
JU1509	B31.1	NIC174
JU1529	O20.2.1	NIC174
JU1533	O21.1.4	NIC174
JU1542	O27.2.1	NIC174
JU1551	O30.1.2	NIC174
JU1556	O32.2.2	NIC174
JU1560	O33.1.1	NIC174
JU1561	O36.1.2	NIC174
JU1562	O40.1.1	NIC174
JU1564	CSH_A1	JU1564
JU1637	25.2.2	JU1637
JU1638	26.1.1	JU1638
JU1767	O183.1	NIC174
JU1775	NA	NIC174
JU1776	NA	NIC174
JU1784	I34.1.1	NIC174
JU1788	I36cl1	NIC174
JU1789	B4.1	NIC174
JU1791	B09.3.1	NIC174
JU1794	Z1E3.3	JU1794
JU1795	Z1E5.5	JU1795
JU1799	R2.1.1.1.2.1	JU1799
JU1802	R9.2.2.1	JU1802
JU1814	A6.1	JU1814
JU1820	D8.2	NIC67
JU1822	D10.2	NIC67
JU1827	D12.1	NIC67
JU1828	D14.1	NIC67
JU1829	D22.1	NIC67
JU1830	D25.1	NIC67
JU1834	D29.1	NIC67
JU1884	Gua1	JU1884
JU1885	A.1	JU1885
JU1907	A6.1	JU1907
JU1908	A7.1	JU1908
JU1909	A11.1	JU1909
JU1912	B14.1	JU1913
JU1913	B15.1	JU1913
JU1914	B23.1	JU2506
JU1987	O635.10	NIC174
JU1992	O665.15	NIC174
JU1993	O668.18	NIC174
JU1994	O669.3	NIC174
JU1995	O673.5	NIC174
JU1996	O673.14	NIC174
JU1997	O674.2	NIC174
JU1998	O675.20	NIC174
JU1999	O662.1	NIC174
JU2004	O695.20.1.1	NIC174
JU2032	O176.10	NIC174
JU2044	G1.1	NIC67
JU2045	G6.1	NIC61
JU2053	H3.1	JU2053
JU2054	H4.7	JU2054
JU2055	H7.2	EG6268
JU2056	H10.1	JU2056
JU2057	IE8.1	JU2057
JU2101	O370.2.1	NIC174
JU2103	O738.5.1	NIC174
JU2105	S70.1.1	NIC174
JU2138	S51.6	QR25
JU2142	B11.11.2	NIC174
JU2143	B11.18.1	NIC174
JU2144	B11.30.1	NIC174
JU2145	B11.31.1	NIC174
JU2160	Z20.1	JU2160
JU2162	Z21.2	JU2162
JU2164	O801.1.1	NIC174
JU2181	Q7.4	QR25
JU2182	Q14.2	QR25
JU2183	Q15.5	QR25
JU2184	Q17.1	QR25
JU2185	Q18.1	QR25
JU2206	o914-B4	NIC174
JU2208	o914-A5	NIC174
JU2214	Peru-2B10A	JU2214
JU2216	Peru-3-1-10A3	JU2216
JU2217	o914-B5	NIC174
JU2218	o949-B4	NIC174
JU2219	o963-1	NIC174
JU2220	o951-A2	NIC174
JU2221	LeP3-B10	NIC174
JU2222	LeP3A1	NIC174
JU2223	o951-A1	NIC174
JU2224	LeP3A4	NIC174
JU2225	o949-B5	NIC174
JU2226	o951-A5	NIC174
JU2227	o944-D2	NIC174
JU2228	o957-C2	NIC174
JU2229	noix1	NIC174
JU2233	o949-B1	NIC174
JU2247	o951-A10	NIC174
JU2248	o944-C3	NIC174
JU2252	o949-A6	NIC174
JU2256	NA	NIC174
JU2457	Amazonia2.1	JU2457
JU2461	Amazonia 6.3	JU2518
JU2470	fleurs1.3	JU2470
JU2471	Amazonia1.2	NIC1183
JU2472	AV5.2	JU2472
JU2473	Myr1	JU2472
JU2506	O133.2	JU2506
JU2507	TH3.1	JU2507
JU2517	o917.A4	JU2506
JU2518	NA	JU2518
JU2531	S222-6	NIC174
JU2533	Bel13-1	JU2053
JU2535	NA	NA
JU2536	bud3-1	JU2536
JU2555	I1.6	NIC174
JU2556	I2.14	NIC174
JU2562	O1067.4	NIC174
JU2563	O1080.3	NIC174
JU2567	O1070.10	NIC174
JU2569	NA	JU2506
JU2573	o1084.2	JU2053
JU2574	Ind3.6.2	NA
JU2577	BND1.1	NIC174
JU2579	B13_26.3	NIC174
JU2580	B13_27.2	NIC174
JU2582	B13_31.2	NIC174
JU2583	B13_34.1	NIC174
JU2584	CR41.1	NIC174
JU2588	NA	NIC174
JU2590	vau 14.6	NIC174
JU2591	IS6.1	NIC174
JU2594	Vau12.8	NIC174
JU2595	Vau15.9	NIC174
JU2596	Vau16.3	NIC174
JU2597	Vau17.1	JU2597
JU2618	Y3.1	JU2597
JU2626	O177.2	NIC174
JU2747	NA	JU2747
JU2753	LB14-5.7	JU3171
JU2754	LB14-2.3	NIC174
JU2766	Long2.4	NIC174
JU2767	Long15.3	JU2767
JU2773	A21B3.1	NIC174
JU2777	AUS-o1	QG2925
JU2779	O1170 (S17)	NIC174
JU2780	AUS-i6	NIC174
JU2781	A31.4	JU2872
JU2783	A31.10	NIC174
JU2786	tarn3B	NIC174
JU279	13B2	NIC174
JU2791	LB14_11.1	JU3171
JU2792	TARN4	NIC174
JU2793	LB14_14.2	NIC174
JU2799	G5.5	JU2799
JU280	13A1	NIC174
JU2801	ART3.6	JU2801
JU2814	Arb 4.2	JU2767
JU2823	LB14.37-8	NIC174
JU2824	LB14.36-6	NIC174
JU2835	PV2	JU2836
JU2836	PV4	JU2836
JU2849	Br5.5	JU2849
JU2850	Br2.1	JU2849
JU2861	Cam7.1	JU2861
JU2863	CNRS1	NIC174
JU2868	V21.4	JU2868
JU2872	V24.5	JU2872
JU2873	V25.2	JU2872
JU2893	B3.4	NIC174
JU2894	B5.6	NIC174
JU2905	F9.1	NIC174
JU2910	M2.6	JU2747
JU296	13C1	NIC174
JU3168	STJ5.5	JU2767
JU3171	STJ8.2	JU3171
JU3199	Ba3.2	JU2801
JU3200	Ba4.1	JU3200
JU3201	Ba6.7	JU3201
JU3202	Ba7.5	JU3202
JU3203	Ba8.1	JU3203
JU3204	Ba9.1	JU3416
JU3205	Ba10.3	JU3202
JU3206	Ba15.1	JU3206
JU3207	Ba16.1	JU3207
JU3237	MTS3.4	JU3237
JU3272	CZ1.7	JU3272
JU3273	CZ2.1	JU3272
JU3276	CZ16.1	NIC174
JU3278	CZ20.1	NIC174
JU3279	CZ21.1	NIC174
JU3281	CZ24.1	JU3281
JU3319	Ch16.2	JU3319
JU3321	Ch21.3	JU3321
JU3323	Ch24.4	JU3319
JU3326	Ch43.8	JU3326
JU3327	Ch44.5	JU3327
JU3416	J18-7.7	JU3416
JU3420	J18-22.8	JU3272
JU3422	J18-25.1	JU3272
JU348	C2.1	NIC174
JU349	C6.1	NIC174
JU350	C7.1	NIC174
JU351	C7.2	NIC174
JU352	C7.3	NIC174
JU353	C7.4	NIC174
JU354	C7.6	NIC174
JU355	C7.5	NIC174
JU356	C7.7	NIC67
JU357	C7.8	NIC174
JU358	C8.1	NIC174
JU372	B2.2.3	NIC174
JU373	B2.2.9	NIC174
JU374	B2.2.1	NIC174
JU375	B2.2.8	NIC174
JU376	B2.3.1	NA
JU377	B2.2.6	NIC174
JU378	B2.3.2	NIC174
JU3784	NA	NIC174
JU379	B2.2.5	NIC174
JU380	B2.2.2	NIC174
JU381	B2.2.7	NIC174
JU382	B2.2.1	NIC174
JU383	B2.2.4	NIC174
JU403	HC2.2	NIC174
JU404	HC2.8	NIC174
JU4041	NA	QG2849
JU4042	NA	JU4042
JU4049	NA	JU4051
JU405	HC4.1	NIC174
JU4051	NA	JU4051
JU4058	NA	JU4058
JU4060	NA	JU4060
JU4062	NA	JU4062
JU4064	NA	JU4064
JU4080	NA	JU4080
JU4084	NA	JU4084
JU4097	NA	JU4097
JU4099	NA	BRC20498
JU4288	NA	NIC174
JU439	NA	NIC174
JU441	NA	NIC174
JU516	P13E1	NIC174
JU725	5A2	JU725
JU726	14D4	JU1344
JU757	B2A1	NIC174
JU793	F1A1	JU1344
JU794	F1B1	NIC174
JU795	F1D1	NIC174
JU796	F1E1	NIC174
JU797	F2B1	NIC174
JU835	O1F1	NIC174
JU836	O1F3	NIC174
JU837	O1F4	NIC174
JU838	O1F5	NIC174
JU839	O1F6	NIC174
JU840	O1F7	NIC174
JU841	O1F8	NIC174
JU842	O1F9	NIC174
JU843	O1F10	NIC174
JU844	O1F11	NIC174
JU845	O1F12	NIC174
JU846	O1I1	NIC174
MY2049	D558a1	NIC174
MY2132	E635c3	NIC174
MY2249	A689c7	MY2716
MY2250	A688c10	MY539
MY2269	A689c4	MY2716
MY2270	A688c6	MY539
MY2271	A688c3	MY2716
MY2281	A688c2	MY539
MY2364	A725c5	MY2716
MY2716	A1148v1	MY2716
MY2717	A1148v2	MY2716
MY2725	A1183ve2	MY539
MY2748	M420v4	MY2716
MY539	A20c5	MY539
MY646	C60c6	NIC174
MY661	C60c4	NIC174
MY681	C59c12	MY681
MY682	D48a3	NIC174
