strain	previous_names	isotype
ECA1294	S-09955	ECA1293
ECA1292	S-09891	ECA1298
ECA1295	S-09965	ECA1298
ECA1296	S-09978	ECA1298
ECA1297	S-09979	ECA1298
ECA1298	S-09980	ECA1298
ECA3039	S-14924	ECA1298
ECA3070	S-14990	ECA1298
ECA3073	S-14994	ECA1298
ECA3074	S-14996	ECA1298
ECA3076	S-15136	ECA1298
ECA3078	S-15165	ECA1298
ECA3079	S-15168	ECA1298
ECA3081	S-15176	ECA1298
ECA3082	S-15179	ECA1298
ECA3114	S-15082	ECA1298
ECA3115	S-15086	ECA1298
ECA3120	S-15158	ECA1298
ECA3125	S-15181	ECA1298
ECA3126	S-15193	ECA1298
ECA3127	S-15199	ECA1298
ECA3208	S-15592	ECA1298
ECA3527	S-15318	ECA1298
ECA3528	S-15320	ECA1298
ECA3529	S-15321	ECA1298
ECA3549	S-15482	ECA1298
ECA3637	S-15843	ECA1298
ECA3638	S-15850	ECA1298
ECA3640	S-15859	ECA1298
ECA3641	S-15866	ECA1298
ECA3680	S-16093	ECA1298
ECA1316	NA	ECA1316
ECA1409	S-0078	ECA1409
ECA1389	S-0449	ECA1413
ECA1391	S-0450	ECA1413
ECA1413	S-0111	ECA1413
ECA1415	S-0117	ECA1413
ECA1421	S-0252	ECA1413
ECA1465	S-10316	ECA1493
ECA1467	S-10318	ECA1493
ECA1493	S-10236	ECA1493
ECA1515	S-10412	ECA1493
ECA1693	S-10769	ECA1693
ECA1709	S-10773	ECA1713
ECA1711	S-10775	ECA1713
ECA1713	S-10776	ECA1713
ECA1717	S-11015	ECA1717
ECA1725	S-11072	ECA1725
ECA1733	S-11126	ECA1751
ECA1735	S-11127	ECA1751
ECA1737	S-11128	ECA1751
ECA1741	S-11130	ECA1751
ECA1745	S-11179	ECA1751
ECA1747	S-11180	ECA1751
ECA1749	S-11181	ECA1751
ECA1751	S-11182	ECA1751
ECA1753	S-11183	ECA1751
ECA1755	S-11191	ECA1757
ECA1757	S-11192	ECA1757
ECA2321	S-11517	ECA1757
ECA2322	S-11518	ECA1757
ECA1743	S-11176	ECA1761
ECA1761	S-11212	ECA1761
ECA1763	S-11213	ECA1761
ECA1765	S-11214	ECA1761
ECA1767	S-11215	ECA1761
ECA1731	S-11095	ECA1769
ECA1769	S-11228	ECA1769
ECA1771	S-11230	ECA1769
ECA1795	S-11231	ECA1769
ECA1797	S-11232	ECA1769
ECA1793	S-10997	ECA1793
ECA2121	S-11374	ECA1793
ECA1799	S-11234	ECA1805
ECA1801	S-11235	ECA1805
ECA1803	S-11237	ECA1805
ECA1805	S-11240	ECA1805
ECA1807	S-12106	ECA1807
ECA1809	S-11255	ECA1815
ECA1811	S-11256	ECA1815
ECA1813	S-11257	ECA1815
ECA1815	S-11258	ECA1815
ECA1817	S-11259	ECA1815
ECA1819	S-11260	ECA1815
ECA1821	S-11767	ECA1821
ECA1823	S-11769	ECA1821
ECA1825	S-11779	ECA1825
ECA1831	S-11782	ECA1825
ECA2931	S-14044	ECA1825
ECA2965	S-14158	ECA1825
ECA2980	S-14196	ECA1825
ECA2983	S-14233	ECA1825
ECA2985	S-14235	ECA1825
ECA2989	S-14262	ECA1825
ECA2990	S-14263	ECA1825
ECA2997	S-14338	ECA1825
ECA2998	S-14348	ECA1825
ECA2999	S-14349	ECA1825
ECA3000	S-14350	ECA1825
ECA3001	S-14351	ECA1825
ECA1835	S-11657	ECA1843
ECA1837	S-11658	ECA1843
ECA1839	S-11659	ECA1843
ECA1841	S-11660	ECA1843
ECA1843	S-11675	ECA1843
ECA1723	S-11037	ECA1851
ECA1851	S-11694	ECA1851
ECA2962	S-14154	ECA1851
ECA1759	S-11193	ECA1853
ECA1853	S-11837	ECA1853
ECA1855	S-11838	ECA1853
ECA1857	S-11839	ECA1853
ECA1859	S-11842	ECA1853
ECA2324	S-11519	ECA1853
ECA1875	S-11314	ECA1875
ECA1931	S-11311	ECA1875
ECA1933	S-11312	ECA1875
ECA1845	S-11689	ECA1885
ECA1847	S-11690	ECA1885
ECA1849	S-11692	ECA1885
ECA1885	S-11693	ECA1885
ECA1887	S-11894	ECA1887
ECA1897	S-11895	ECA1887
ECA1889	S-11901	ECA1889
ECA1903	S-11904	ECA1889
ECA189	NA	ECA189
ECA190	NA	ECA189
ECA192	NA	ECA189
ECA193	NA	ECA189
ECA393	NA	ECA189
ECA394	NA	ECA189
ECA395	NA	ECA189
ECA1891	S-12112	ECA1891
ECA1873	S-11877	ECA1901
ECA1901	S-11900	ECA1901
ECA191	NA	ECA191
ECA1861	S-11854	ECA1919
ECA1863	S-11867	ECA1919
ECA1865	S-11868	ECA1919
ECA1867	S-11869	ECA1919
ECA1869	S-11870	ECA1919
ECA1871	S-11871	ECA1919
ECA1919	S-11286	ECA1919
ECA1921	S-11287	ECA1919
ECA1923	S-11288	ECA1919
ECA1927	S-11309	ECA1919
ECA1929	S-11310	ECA1919
ECA1935	S-11313	ECA1919
ECA1925	S-11298	ECA1925
ECA1937	S-12104	ECA1937
ECA1939	S-12105	ECA1939
ECA1951	S-12153	ECA1939
ECA1953	S-12154	ECA1939
ECA1943	S-12107	ECA1943
ECA1969	S-12049	ECA1969
ECA1967	S-12102	ECA1977
ECA1971	S-12101	ECA1977
ECA1977	S-12099	ECA1977
ECA1981	S-12098	ECA1977
ECA1985	S-12097	ECA1977
ECA1995	S-12060	ECA1997
ECA1997	S-12056	ECA1997
ECA2041	S-11731	ECA2041
ECA2043	S-11761	ECA2043
ECA2065	S-11951	ECA2073
ECA2067	S-11952	ECA2073
ECA2069	S-11953	ECA2073
ECA2071	S-11954	ECA2073
ECA2073	S-11955	ECA2073
ECA2075	S-11956	ECA2073
ECA1787	S-11971	ECA2081
ECA1789	S-11969	ECA2081
ECA2079	S-11961	ECA2081
ECA2081	S-11962	ECA2081
ECA2085	S-11970	ECA2081
ECA1739	S-11129	ECA2091
ECA2091	S-10996	ECA2091
ECA2101	S-10993	ECA2091
ECA2103	S-10994	ECA2091
ECA2309	S-11501	ECA2091
ECA2311	S-11502	ECA2091
ECA2313	S-11503	ECA2091
ECA2315	S-11504	ECA2091
ECA2109	S-11339	ECA2109
ECA2930	S-14043	ECA2109
ECA2981	S-14227	ECA2109
ECA3003	S-14392	ECA2109
ECA1689	S-10766	ECA2111
ECA1691	S-10768	ECA2111
ECA1695	S-10770	ECA2111
ECA2107	S-10995	ECA2111
ECA2111	S-11337	ECA2111
ECA1715	S-11012	ECA2151
ECA1718	S-11016	ECA2151
ECA1721	S-11035	ECA2151
ECA2099	S-10966	ECA2151
ECA2117	S-11372	ECA2151
ECA2122	S-11375	ECA2151
ECA2127	S-10784	ECA2151
ECA2131	S-10785	ECA2151
ECA2143	S-10827	ECA2151
ECA2147	S-10828	ECA2151
ECA2151	S-10829	ECA2151
ECA2167	S-10862	ECA2151
ECA2171	S-10863	ECA2151
ECA2175	S-10865	ECA2151
ECA2964	S-14156	ECA2151
ECA2155	S-10856	ECA2155
ECA1727	S-11073	ECA2159
ECA1729	S-11074	ECA2159
ECA2159	S-10857	ECA2159
ECA2163	S-10858	ECA2159
ECA2183	S-10871	ECA2183
ECA2135	S-10802	ECA2187
ECA2139	S-10807	ECA2187
ECA2179	S-10866	ECA2187
ECA2187	S-10872	ECA2187
ECA2191	S-10888	ECA2191
ECA2095	S-10897	ECA2195
ECA2097	S-10898	ECA2195
ECA2195	S-10893	ECA2195
ECA2203	S-10895	ECA2195
ECA2207	S-10896	ECA2195
ECA2199	S-10894	ECA2199
ECA2251	S-12700	ECA2251
ECA2125	S-11377	ECA2281
ECA2281	S-11414	ECA2281
ECA2283	S-11415	ECA2281
ECA2285	S-11416	ECA2281
ECA2287	S-11417	ECA2281
ECA2291	S-11445	ECA2291
ECA2326	S-11522	ECA2332
ECA2328	S-11523	ECA2332
ECA2330	S-11524	ECA2332
ECA2332	S-11526	ECA2332
ECA2334	S-11536	ECA2334
ECA2340	S-11549	ECA2334
ECA1827	S-11780	ECA2336
ECA1829	S-11781	ECA2336
ECA1833	S-11783	ECA2336
ECA1877	S-11340	ECA2336
ECA1907	S-11905	ECA2336
ECA2289	S-11418	ECA2336
ECA2293	S-11461	ECA2336
ECA2319	S-11510	ECA2336
ECA2336	S-11539	ECA2336
ECA2338	S-11541	ECA2336
ECA2934	S-14052	ECA2336
ECA2935	S-14053	ECA2336
ECA2938	S-14057	ECA2336
ECA2940	S-14059	ECA2336
ECA2984	S-14234	ECA2336
ECA2342	S-11568	ECA2344
ECA2344	S-11569	ECA2344
ECA2348	S-11571	ECA2350
ECA2350	S-11572	ECA2350
ECA2352	S-11573	ECA2350
ECA2354	S-11582	ECA2360
ECA2356	S-11583	ECA2360
ECA2358	S-11584	ECA2360
ECA2360	S-11585	ECA2360
ECA2362	S-11586	ECA2360
ECA2986	S-14248	ECA2360
ECA3004	S-14397	ECA2360
ECA2367	S-11629	ECA2367
ECA1785	S-12006	ECA2377
ECA2375	S-12213	ECA2377
ECA2377	S-12214	ECA2377
ECA2413	S-12265	ECA2417
ECA2415	S-12266	ECA2417
ECA2417	S-12267	ECA2417
ECA2419	S-12268	ECA2417
ECA2421	S-12269	ECA2417
ECA2423	S-12270	ECA2417
ECA243	CB4851_(CGC)|CB4851_CGC|CB4851|N62	ECA243
ECA2437	S-12289	ECA2437
ECA1791	S-12169	ECA2443
ECA1913	S-12172	ECA2443
ECA1915	S-12171	ECA2443
ECA1917	S-12170	ECA2443
ECA2443	S-12314	ECA2443
ECA2445	S-12315	ECA2443
ECA2452	S-12320	ECA2452
ECA245	CB4853_(CGC)|CB4853_CGC|GA12	ECA246
ECA246	CB4853_(UK)|CB4853_UK|CB4853|GA12	ECA246
ECA2467	S-12457	ECA2467
ECA1909	S-12186	ECA2473
ECA1911	S-12184	ECA2473
ECA2249	S-12686	ECA2473
ECA2255	S-12710	ECA2473
ECA2401	S-12238	ECA2473
ECA2403	S-12239	ECA2473
ECA2405	S-12241	ECA2473
ECA2473	S-12479	ECA2473
ECA2475	S-12516	ECA2475
ECA2477	S-12528	ECA2475
ECA2479	S-12543	ECA2475
ECA2485	S-12588	ECA2475
ECA2487	S-12592	ECA2475
ECA3646	S-15894	ECA2475
ECA248	CB4855_(UK)|CB4855_UK|CB4855|Cal-5|Sta-5	ECA248
ECA2481	S-12544	ECA2481
ECA1895	S-12549	ECA2482
ECA2253	S-12709	ECA2482
ECA2482	S-12551	ECA2482
ECA2247	S-12685	ECA2489
ECA2489	S-12604	ECA2489
ECA249	CB4857_(CGC)|CB4857_CGC|CB4857|Cl2a	ECA250
ECA250	CB4857_(UK)|CB4857_UK|Cl2a	ECA250
AB2	NA	ECA251
AB3	NA	ECA251
CX11258	HEY-001	ECA251
CX11278	HEY-009	ECA251
CX11305	HEY-004	ECA251
CX11317	HEY-042	ECA251
ECA247	CB4855_(CGC)|CB4855_CGC|Cal-5|Sta-5	ECA251
AB4	NA	ECA251
ECA251	CB4858_(CGC)|CB4858_CGC|CB4858|PA1	ECA251
JU1960	NA	ECA251
ECA2522	S-12614	ECA2522
ECA2523	S-12625	ECA2523
ECA2524	S-12626	ECA2523
ECA2527	S-12677	ECA2527
ECA2528	S-12678	ECA2527
ECA2529	S-12682	ECA2529
ECA2521	S-12561	ECA2533
ECA2525	S-12628	ECA2533
ECA2532	S-12732	ECA2533
ECA2533	S-12733	ECA2533
ECA2534	S-12734	ECA2533
ECA2537	S-12728	ECA2533
ECA2526	S-12669	ECA2536
ECA2535	S-12771	ECA2536
ECA2536	S-12772	ECA2536
ECA2546	S-12454	ECA2546
ECA2547	S-12456	ECA2546
ECA2582	S-12960	ECA2546
ECA2549	S-12485	ECA2549
ECA2550	S-12486	ECA2551
ECA2551	S-12487	ECA2551
ECA2553	S-12577	ECA2551
ECA2643	S-13836	ECA2551
ECA2649	S-12581	ECA2551
ECA2673	S-12610	ECA2551
ECA2674	S-12774	ECA2551
ECA2554	S-12611	ECA2554
ECA2555	S-12743	ECA2555
ECA2556	S-12781	ECA2559
ECA2557	S-12789	ECA2559
ECA2559	S-12809	ECA2559
ECA2560	S-12848	ECA2560
ECA2561	S-12856	ECA2561
ECA2570	S-12905	ECA2561
ECA2579	S-12953	ECA2561
ECA2580	S-12954	ECA2561
ECA2651	S-12914	ECA2561
ECA2562	S-12882	ECA2565
ECA2563	S-12883	ECA2565
ECA2564	S-12884	ECA2565
ECA2565	S-12892	ECA2565
ECA2566	S-12898	ECA2565
ECA2567	S-12899	ECA2565
ECA2568	S-12902	ECA2568
ECA2571	S-12927	ECA2581
ECA2572	S-12929	ECA2581
ECA2573	S-12941	ECA2581
ECA2581	S-12957	ECA2581
ECA2583	S-13023	ECA2583
ECA2584	S-13024	ECA2584
ECA2586	S-13036	ECA2584
ECA2596	S-13070	ECA2584
ECA2597	S-13071	ECA2584
ECA259	PB306_CGC|PB306	ECA259
ECA2589	S-13042	ECA2594
ECA2591	S-13054	ECA2594
ECA2592	S-13055	ECA2594
ECA2594	S-13063	ECA2594
ECA2606	S-13197	ECA2594
ECA2652	S-13062	ECA2594
ECA2590	S-13044	ECA2595
ECA2593	S-13056	ECA2595
ECA2595	S-13069	ECA2595
ECA2605	S-13194	ECA2595
ECA2653	S-13068	ECA2595
ECA2599	S-13082	ECA2601
ECA2600	S-13083	ECA2601
ECA2601	S-13100	ECA2601
ECA2602	S-13117	ECA2602
ECA2654	S-13118	ECA2602
ECA2569	S-12904	ECA2603
ECA2574	S-12945	ECA2603
ECA2575	S-12946	ECA2603
ECA2577	S-12950	ECA2603
ECA2578	S-12952	ECA2603
ECA2598	S-13081	ECA2603
ECA2603	S-13132	ECA2603
ECA2650	S-12903	ECA2603
ECA2607	S-13222	ECA2607
ECA2558	S-12791	ECA2609
ECA2609	S-13269	ECA2609
ECA2610	S-13270	ECA2609
ECA2675	S-12783	ECA2609
ECA2612	S-13282	ECA2612
ECA2658	S-13277	ECA2612
ECA2615	S-13424	ECA2615
ECA2641	S-13806	ECA2641
ECA2642	S-13808	ECA2641
ECA2644	S-13837	ECA2641
ECA2648	S-12496	ECA2648
ECA2656	S-13224	ECA2656
ECA2659	S-13278	ECA2659
ECA2611	S-13280	ECA2660
ECA2660	S-13279	ECA2660
ECA2548	S-12482	ECA2672
ECA2552	S-12493	ECA2672
ECA2585	S-13032	ECA2672
ECA2608	S-13240	ECA2672
ECA2657	S-13239	ECA2672
ECA2672	S-12494	ECA2672
ECA2576	S-12948	ECA2676
ECA2676	S-12901	ECA2676
ECA2861	S-14050	ECA2861
ECA2874	S-14373	ECA2861
ECA2913	S-14220	ECA2861
ECA2914	S-14308	ECA2861
ECA2919	S-14217	ECA2861
ECA3042	S-14936	ECA2861
ECA2862	S-14065	ECA2862
ECA2871	S-14266	ECA2872
ECA2872	S-14268	ECA2872
ECA2881	S-14559	ECA2882
ECA2882	S-14560	ECA2882
ECA2884	S-14565	ECA2885
ECA2885	S-14566	ECA2885
ECA2886	S-14567	ECA2885
ECA2887	S-14568	ECA2885
ECA2896	S-14653	ECA2885
ECA3050	S-14953	ECA2885
ECA3051	S-14955	ECA2885
ECA3067	S-14983	ECA2885
ECA3550	S-15485	ECA2885
ECA3551	S-15486	ECA2885
ECA2888	S-14569	ECA2888
ECA2897	S-14658	ECA2897
ECA2915	S-14654	ECA2897
ECA2929	S-14042	ECA2929
ECA2941	S-14060	ECA2941
ECA2942	S-14101	ECA2942
ECA2944	S-14103	ECA2944
ECA2928	S-14041	ECA2945
ECA2945	S-14105	ECA2945
ECA2946	S-14106	ECA2946
ECA2943	S-14102	ECA2947
ECA2947	S-14108	ECA2947
ECA2948	S-14109	ECA2948
ECA2969	S-14184	ECA2948
ECA2949	S-14110	ECA2949
ECA2950	S-14111	ECA2950
ECA2951	S-14112	ECA2951
ECA2952	S-14115	ECA2952
ECA2956	S-14145	ECA2956
ECA2957	S-14146	ECA2956
ECA2958	S-14147	ECA2956
ECA2966	S-14169	ECA2956
ECA2960	S-14152	ECA2960
ECA2963	S-14155	ECA2963
ECA2968	S-14182	ECA2968
ECA2996	S-14298	ECA2968
ECA2967	S-14180	ECA2970
ECA2970	S-14185	ECA2970
ECA2971	S-14186	ECA2970
ECA2972	S-14187	ECA2970
ECA2973	S-14188	ECA2970
ECA2978	S-14193	ECA2970
ECA2979	S-14195	ECA2970
ECA2974	S-14189	ECA2974
ECA2982	S-14232	ECA2982
ECA2932	S-14045	ECA2988
ECA2933	S-14046	ECA2988
ECA2987	S-14256	ECA2988
ECA2988	S-14261	ECA2988
ECA2991	S-14274	ECA2988
ECA3002	S-14389	ECA2988
ECA2993	S-14285	ECA2993
ECA2994	S-14286	ECA2993
ECA3008	S-14457	ECA2993
ECA2992	S-14282	ECA3005
ECA2995	S-14288	ECA3005
ECA3005	S-14449	ECA3005
ECA3006	S-14450	ECA3006
ECA3011	S-14802	ECA3011
ECA3012	S-14803	ECA3012
ECA3025	S-14880	ECA3025
ECA3027	S-14887	ECA3027
ECA3032	S-14905	ECA3034
ECA3033	S-14906	ECA3034
ECA3034	S-14907	ECA3034
ECA3044	S-14938	ECA3034
ECA3035	S-14908	ECA3035
ECA3038	S-14918	ECA3038
ECA3047	S-14945	ECA3047
ECA3049	S-14950	ECA3049
ECA3057	S-14967	ECA3057
ECA3072	S-14993	ECA3072
ECA3009	S-14458	ECA3075
ECA3075	S-15135	ECA3075
ECA3077	S-15164	ECA3077
ECA3088	S-14790	ECA3088
ECA3040	S-14926	ECA3116
ECA3116	s-15109	ECA3116
ECA3118	S-15126	ECA3116
ECA3119	S-15157	ECA3116
ECA3121	S-15161	ECA3116
ECA3122	S-15169	ECA3116
ECA3199	S-15582	ECA3116
ECA3252	S-15578	ECA3116
ECA3511	S-15020	ECA3116
ECA3513	S-15032	ECA3116
ECA3514	S-15036	ECA3116
ECA3517	S-15051	ECA3116
ECA3519	S-15083	ECA3116
ECA3556	S-15520	ECA3116
ECA3561	S-15527	ECA3116
ECA3562	S-15529	ECA3116
ECA3635	S-15826	ECA3116
ECA3117	S-15117	ECA3117
ECA3157	S-15044	ECA3157
ECA3205	S-15591	ECA3205
ECA3687	S-16111	ECA3205
ECA3212	S-15597	ECA3222
ECA3222	S-15599	ECA3222
ECA3256	S-15598	ECA3256
ECA347	NA	ECA347
ECA348	NA	ECA348
ECA694	NA	ECA348
ECA695	NA	ECA348
ECA349	NA	ECA349
ECA350	NA	ECA349
ECA3493	S-15208	ECA3493
ECA3494	S-15256	ECA3494
ECA3495	S-15260	ECA3494
ECA3496	S-15304	ECA3496
ECA3497	S-15306	ECA3497
ECA3048	S-14948	ECA3516
ECA3058	S-14969	ECA3516
ECA3516	S-15039	ECA3516
ECA3546	S-15461	ECA3516
ECA3660	S-15949	ECA3516
ECA3663	S-15952	ECA3516
ECA3664	S-15957	ECA3516
ECA3665	S-15958	ECA3516
ECA3518	S-15064	ECA3518
ECA3530	S-15349	ECA3518
ECA3531	S-15351	ECA3518
ECA3524	S-15273	ECA3524
ECA3526	S-15284	ECA3524
ECA3534	S-15363	ECA3535
ECA3535	S-15364	ECA3535
ECA3537	S-15374	ECA3535
ECA3538	S-15405	ECA3538
ECA36	GD6	ECA36
ECA3601	S-15648	ECA3601
ECA3602	S-15655	ECA3605
ECA3605	S-15834	ECA3605
ECA3606	S-15953	ECA3606
ECA2365	S-11626	ECA363
ECA363	NA	ECA363
ECA3634	S-15824	ECA3634
ECA3644	S-15888	ECA3645
ECA3645	S-15889	ECA3645
ECA3658	S-15947	ECA3645
ECA3654	S-15912	ECA3654
ECA3656	S-15920	ECA3656
ECA3647	S-15895	ECA3668
ECA3668	S-15963	ECA3668
ECA3671	S-16051	ECA3671
ECA3672	S-16052	ECA3672
ECA3673	S-16054	ECA3673
ECA3678	S-16085	ECA3678
ECA3688	S-16116	ECA3688
ECA369	NA	ECA369
ECA3698	S-15928	ECA3698
ECA3699	S-15929	ECA3699
ECA3700	S-15937	ECA3699
ECA372	NA	ECA372
ECA396	NA	ECA396
ECA397	NA	ECA396
ECA398	NA	ECA396
ECA399	NA	ECA396
ECA592	NA	ECA592
ECA593	NA	ECA593
ECA594	NA	ECA594
ECA640	NA	ECA640
ECA701	NA	ECA701
ECA702	NA	ECA701
ECA703	NA	ECA703
ECA705	NA	ECA705
ECA822	NA	ECA705
ECA706	NA	ECA706
ECA3558	S-15524	ECA710
ECA710	NA	ECA710
ECA711	NA	ECA712
ECA712	NA	ECA712
ECA713	NA	ECA712
ECA714	NA	ECA712
ECA715	NA	ECA712
ECA722	NA	ECA722
ECA723	NA	ECA723
ECA728	NA	ECA723
ECA729	NA	ECA723
ECA1441	S-0415	ECA724
ECA3525	S-15282	ECA724
ECA724	NA	ECA724
ECA725	NA	ECA724
ECA726	NA	ECA724
ECA727	NA	ECA724
ECA730	NA	ECA730
ECA732	NA	ECA732
ECA2895	S-14652	ECA733
ECA3532	S-15352	ECA733
ECA3607	S-16027	ECA733
ECA3608	S-16028	ECA733
ECA3609	S-16029	ECA733
ECA731	NA	ECA733
ECA733	NA	ECA733
ECA734	NA	ECA738
ECA735	NA	ECA738
ECA736	NA	ECA738
ECA737	NA	ECA738
ECA738	NA	ECA738
ECA740	NA	ECA740
ECA1878	S-11474	ECA741
ECA2295	S-11467	ECA741
ECA2307	S-11500	ECA741
ECA741	NA	ECA741
ECA742	NA	ECA742
ECA743	NA	ECA743
ECA1210	S-08550	ECA744
ECA1213	S-08567	ECA744
ECA1214	S-08568	ECA744
ECA744	NA	ECA744
ECA745	NA	ECA745
ECA747	NA	ECA745
ECA746	NA	ECA746
ECA1244	S-09222	ECA760
ECA1245	S-09223	ECA760
ECA1291	S-09841	ECA760
ECA1385	NA	ECA760
ECA2870	S-14265	ECA760
ECA3013	S-14807	ECA760
ECA3108	s-14761	ECA760
ECA3110	S-14765	ECA760
