WBGene00014450	MTCE.1
WBGene00014451	MTCE.2
WBGene00010957	MTCE.3.1
WBGene00010958	MTCE.4.1
WBGene00014452	MTCE.5
WBGene00014453	MTCE.6
WBGene00014454	MTCE.7
WBGene00014455	MTCE.8
WBGene00014456	MTCE.9
WBGene00014457	MTCE.10
WBGene00010959	MTCE.11.1
WBGene00010960	MTCE.12.1
WBGene00014458	MTCE.13
WBGene00014459	MTCE.14
WBGene00014460	MTCE.15
WBGene00010961	MTCE.16.1
WBGene00014461	MTCE.17
WBGene00014462	MTCE.18
WBGene00014463	MTCE.19
WBGene00014464	MTCE.20
WBGene00000829	MTCE.21.1
WBGene00014465	MTCE.22
WBGene00010962	MTCE.23.1
WBGene00014466	MTCE.24
WBGene00010963	MTCE.25.1
WBGene00010964	MTCE.26.1
WBGene00014467	MTCE.27
WBGene00014468	MTCE.28
WBGene00014469	MTCE.29
WBGene00014470	MTCE.30
WBGene00010965	MTCE.31.1
WBGene00014471	MTCE.32
WBGene00014472	MTCE.33
WBGene00010966	MTCE.34.1
WBGene00010967	MTCE.35.1
WBGene00014473	MTCE.36
WBGene00021406	Y38C1AB.4a.1
WBGene00021406	Y38C1AB.4b.1
WBGene00021406	Y38C1AB.4c.1
WBGene00021406	Y38C1AB.4d.1
WBGene00021407	Y38C1AB.5.1
WBGene00021408	Y38C1AB.6.1
WBGene00021405	Y38C1AB.3.1
WBGene00021409	Y38C1AB.7.1
WBGene00021404	Y38C1AB.2.1
WBGene00001492	Y38C1AB.8a.1
WBGene00001492	Y38C1AB.8b.1
WBGene00021403	Y38C1AB.1.1
WBGene00195502	Y38C1AB.9
WBGene00235257	T05C7.4.1
WBGene00235258	T05C7.5.1
WBGene00166500	T05C7.2
WBGene00235260	T05C7.7.1
WBGene00235259	T05C7.6
WBGene00023131	T05C7.t1
WBGene00006599	B0545.1a.1
WBGene00006599	B0545.1a.2
WBGene00006599	B0545.1b.1
WBGene00006599	B0545.1b.2
WBGene00235261	T05C7.8.1
WBGene00235262	T05C7.9.1
WBGene00201447	T05C7.3
WBGene00015246	B0545.3.1
