strain	abamectin_mean.EXT	abamectin_mean.norm.EXT	abamectin_mean.TOF	abamectin_norm.n
AB1	-69.7857410620261	-0.09471829469980675	-17.716193266807313	-8.312496487848957
BRC20067	-29.890867739271542	-0.09902212089545451	-6.881636500636386	-0.0634499884570104
BRC20263	86.88469892773766	0.06006192105834718	26.522830063029716	11.553997294527916
CB4852	-24.336758978917658	0.03888227822695013	-11.531335024917984	-0.9644736909886091
CB4854	35.3375887234041	0.07373666811136849	14.13187825522625	-4.480163187884047
CB4856	70.1315206477996	0.042978258608815004	24.76345689948848	10.891520359957225
CB4932	187.62412678481414	0.1544352381263874	73.57931263627844	-5.045989866817417
CX11262	-12.918361985721319	-0.08412343731298855	-2.307379515788083	6.56260550937037
CX11264	49.248321455580125	0.11115928921257044	17.701457277956298	0.35530034066217464
CX11271	18.04801034720234	0.0033677724348475727	12.462614344101345	-3.4130993266008076
CX11276	40.35372897605714	0.10982743251852134	6.658280872329564	0.9651118906066555
CX11285	-60.01696225038321	0.011315511148522915	-24.696387533539884	11.254662698630124
CX11292	193.81091893601345	0.4325151755417641	41.4066049918702	5.75800715605837
CX11307	2.9460271582810056	-0.11464142652006999	6.198253691435056	14.939591957785925
CX11314	-52.59006579456818	-0.14648571624624085	-13.342002191881823	-2.5209350430210655
CX11315	127.96921709409676	0.13797026469715826	41.00675632619868	-4.57110995080254
DL200	89.80958927490666	0.24194087028604727	17.926630985455915	2.924466707433384
DL226	22.462074667555818	0.10373648517883921	0.5854800982396953	1.81565859957793
DL238	148.32258641943844	0.1995026206156659	37.938384163486276	39.31762443184938
ECA189	141.12147720972902	0.1498740029841025	47.71253675813915	9.273091688813826
ECA246	NA	NA	NA	NA
ECA248	-42.14597605793002	-0.021257976548042394	-16.891140978764028	-2.798097082499303
ECA250	57.563530363942455	0.18741343632761467	11.060620538609886	2.9654146365649834
ECA251	-11.125215491267033	-0.012694982468330195	-5.479927124100931	-4.065358346796796
ECA259	NA	NA	NA	NA
ECA348	49.863803532558705	0.09393301279810855	5.441841167479567	5.98745874552168
ECA349	-95.38811470213881	-0.1328850124253968	-39.111856603419106	-2.780622714612305
ECA36	165.08865598103074	0.11392103009329378	66.54854867264773	-4.214398014136173
ECA369	-65.11628353801075	-0.03169662674733885	-31.153167802337517	-7.737167483414433
ECA372	-118.37640844774116	-0.1768442301598979	-22.79471964832237	-5.811479709130944
ECA396	-174.95717884420816	-0.5028649582633009	-49.51607422987488	-3.959725636624064
ED3005	-48.84306919748158	0.11203682503103181	-29.745380029292324	-6.522354609117371
ED3011	83.523622974873	0.22987669314399412	20.421657272670668	5.191565789451548
ED3012	NA	NA	NA	NA
ED3017	85.20230562362919	0.140015578921249	30.938830244604112	-1.4090619938841744
ED3040	6.985698005833592	0.03103975555890878	4.350212892796556	-1.418403786973674
ED3046	-110.83041943649584	-0.2640923098431951	-27.17859275984222	-6.3827382618123085
ED3048	103.86405918755423	0.2987941130527531	22.322962295390266	3.587876301830598
ED3049	-150.86333380436207	-0.4424000476186021	-32.8758615825646	-5.959090651931998
ED3052	-48.82435548391915	0.032237848330952876	-25.007565388433147	-3.431833466821775
ED3073	51.140013405388416	0.23313823859878913	1.299783302249331	-1.1592557457333026
ED3077	198.0009413397356	0.39576649662875213	46.3699937366178	9.801641206089034
EG4347	68.93236899296438	0.15590537518088218	20.43933239567952	1.8236969037446733
EG4349	152.42547259786244	0.21065001087475418	36.94945823041926	18.095132452063623
EG4724	NA	NA	NA	NA
EG4725	102.520146460688	0.11114788215953265	51.058157532321246	20.51322454772271
EG4946	40.44573163831629	0.20610300059899914	4.161254018075531	-1.1687332032550914
GXW1	42.42046647474533	0.06158814693319598	19.06466502043652	-3.7674882262566083
JT11398	85.69004250652503	0.26098910728734176	26.959423526766663	-1.531739936323019
JU1088	-11.698041369919476	-0.1409071524512483	13.791113785498816	-1.9360416970668366
JU1172	63.61047971124108	0.3311668763046528	-1.4864834139380803	2.911943850106139
JU1200	NA	NA	NA	NA
JU1212	178.34984791532577	0.2963598453322229	56.2214920886673	-0.8452329713484666
JU1213	NA	NA	NA	NA
JU1242	-62.70930093197952	-0.10648269099406654	-15.465196874980178	-3.5118666748631764
JU1246	84.45772840868676	0.05480099387885242	30.93177382221896	0.3337767808214661
JU1249	13.579398053605845	0.1595075492254313	-1.0312824570120027	-5.7383441420812
JU1395	9.850564594081849	0.0772750621337258	2.6528832799112188	-3.581654316453583
JU1409	-46.32721153357978	-0.13399162862615124	-7.38275184020338	-5.790884161081112
JU1440	-106.47765246172887	-0.14958459933321974	-32.7035112136836	-4.337808912880041
JU1491	124.44817782978895	0.21269944715671374	43.70699120307572	1.0592744662083722
JU1530	NA	NA	NA	NA
JU1543	51.45658642606503	0.12821987145557173	19.483085484302354	-2.9920521531546247
JU1568	39.25408691641717	0.02891500157702786	18.514858062074808	-5.689201397380181
JU1581	-69.64305917181318	-0.07926356909109468	-19.45828280505332	-5.225670249244711
JU1586	NA	NA	NA	NA
JU1652	-33.73751732136905	0.04740538042614354	-14.540518289242	1.097265320694501
JU1666	14.800742338443793	-0.044572310994686545	24.698456880880382	-3.077589354065323
JU1792	-12.996620589531489	-0.08154874618305309	12.597466870382208	-6.060661628193296
JU1793	87.56790865499688	-0.04162780546119321	39.668871602761534	4.537722505030927
JU1808	-77.61330967500317	-0.37932178360407914	-11.962883475039781	-3.845571379334787
JU1896	10.805414579806406	0.06362008521897207	5.7604170366340774	-8.023424689171081
JU1934	-51.878776293668714	-0.042124063617676386	-14.491170471857417	-1.6691788129046983
